Delaware - 1st District,DEM,Lisa Rochester,"233,542",55.50%,REP,Hans Reigle,"172,290",41%,Other,Mark Perri,"8,325",2%,Other,Scott Gesty,"6,436",1.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 1st District,REP,Matt Gaetz,"254,280",69.10%,DEM,Steven Specht,"113,586",30.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 2nd District,REP,Neal Dunn,"230,838",67.30%,DEM,Walter Dartland,"102,596",29.90%,Other,Rob Lapham,"9,384",2.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 3rd District,REP,Ted Yoho,"193,261",56.60%,DEM,Ken McGurn,"135,688",39.70%,Other,Tom Wells,"12,438",3.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 4th District,REP,John Rutherford,"286,018",70.20%,DEM,David Bruderly,"112,253",27.60%,Other,Gary Koniz,"8,990",2.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 5th District,DEM,Al Lawson,"193,430",64.20%,REP,Glo Smith,"107,784",35.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 6th District,REP,Ron DeSantis,"213,180",58.60%,DEM,Bill McCullough,"150,677",41.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 7th District,DEM,Stephanie Murphy,"181,758",51.50%,REP,John Mica,"171,412",48.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 8th District,REP,Bill Posey,"246,257",63.10%,DEM,Corry Westbrook,"126,962",32.50%,Other,Bill Stinson,"16,924",4.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 9th District,DEM,Darren Soto,"194,963",57.50%,REP,Wayne Liebnitzky,"144,281",42.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 10th District,DEM,Val Demings,"198,309",64.90%,REP,Thuy Lowe,"107,423",35.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 11th District,REP,Daniel Webster,"257,881",65.40%,DEM,Dave Koller,"124,599",31.60%,Other,Bruce Ray Riggs,"11,961",3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 12th District,REP,Gus Bilirakis,"253,347",68.60%,DEM,Robert Tager,"115,909",31.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 13th District,DEM,Charlie Crist,"184,371",51.90%,REP,David Jolly,"170,964",48.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 14th District,DEM,Kathy Castor,"194,851",61.80%,REP,Christine Quinn,"120,584",38.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 15th District,REP,Dennis Ross,"182,498",57.50%,DEM,Jim Lange,"134,945",42.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 16th District,REP,Vern Buchanan,"230,187",59.80%,DEM,Jan Schneider,"154,854",40.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 17th District,REP,Tom Rooney,"209,135",61.80%,DEM,April Freeman,"115,801",34.20%,Other,John Sawyer,"13,336",3.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 18th District,REP,Brian Mast,"201,011",53.60%,DEM,Randy Perkins,"161,328",43%,Other,Carla Spalding,"12,451",3.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 19th District,REP,Francis Rooney,"238,975",65.90%,DEM,Robert Neeld,"123,625",34.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 20th District,DEM,Alcee Hastings,"220,452",80.30%,REP,Gary Stein,"54,079",19.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 21st District,DEM,Lois Frankel,"208,999",62.70%,REP,Paul Spain,"117,273",35.20%,Other,Michael Trout,"7,148",2.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 22nd District,DEM,Ted Deutch,"197,396",58.90%,REP,Andrea McGee,"137,691",41.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 23rd District,DEM,Debbie Wasserman Schultz,"180,979",56.70%,REP,Joe Kaufman,"129,400",40.50%,Other,Don Endriss,"5,100",1.60%,Other,Lyle Milstein,"3,835",1.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 24th District,DEM,Frederica Wilson,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 25th District,REP,Mario Diaz-Balart,"157,748",62.40%,DEM,Alina Valdes,"95,008",37.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 26th District,REP,Carlos Curbelo,"148,445",53%,DEM,Joe Garcia,"115,348",41.20%,Other,Jose Peixoto,"16,491",5.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 27th District,REP,Ileana Ros-Lehtinen,"157,763",54.90%,DEM,Scott Fuhrman,"129,548",45.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 1st District,REP,Buddy Carter,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 2nd District,DEM,Sanford Bishop,"146,284",61%,REP,Gregory Duke,"93,392",39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 3rd District,REP,Drew Ferguson,"206,930",68.40%,DEM,Angela Pendley,"95,736",31.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 4th District,DEM,Hank Johnson,"214,278",75.60%,REP,Victor Armendariz,"69,075",24.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 5th District,DEM,John Lewis,"241,773",84.60%,REP,Douglas Bell,"44,032",15.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 6th District,REP, Tom Price,"191,792",61.60%,DEM,Rodney Stooksbury,"119,536",38.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 7th District,REP,Rob Woodall,"173,638",60.50%,DEM,Rashid Malik,"113,593",39.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 8th District,REP,Austin Scott,"171,529",67.70%,DEM,James Harris,"81,903",32.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 9th District,REP,Doug Collins,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 10th District,REP,Jody Hice,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 11th District,REP,Barry Loudermilk,"216,772",67.50%,DEM,Don Wilson,"104,401",32.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 12th District,REP,Rick Allen,"158,705",61.60%,DEM,Tricia McCracken,"98,870",38.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 13th District,DEM,David Scott,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia - 14th District,REP,Tom Graves,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii - 1st District,DEM,Colleen Hanabusa,"145,365",72.90%,REP,Shirlene Ostrov,"44,071",22.10%,Other,Alan Yim,"5,556",2.80%,Other,Calvin Griffin,"4,377",2.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii - 2nd District,DEM,Tulsi Gabbard,"170,829",81.20%,REP,Angela Kaaihue,"39,662",18.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa - 1st District,REP,Rod Blum,"206,273",53.90%,DEM,Monica Vernon,"176,447",46.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa - 2nd District,DEM,Dave Loebsack,"197,802",53.70%,REP,Christopher Peters,"170,529",46.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa - 3rd District,REP,David Young,"208,264",53.50%,DEM,Jim Mowrer,"154,780",39.80%,Other,Bryan Holder,"15,337",3.90%,Other,Claudia Addy,"6,335",1.60%,Other,Joe Grandanette,"4,511",1.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa - 4th District,REP,Steve King,"225,842",61.40%,DEM,Kim Weaver,"142,018",38.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho - 1st District,REP,Raul Labrador,"236,397",68%,DEM,James Piotrowski,"111,035",32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho - 2nd District,REP,Mike Simpson,"208,887",63%,DEM,Jennifer Martinez,"97,250",29.30%,Other,Anthony Tomkins,"25,575",7.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois - 1st District,DEM,Bobby Rush,"221,551",73.40%,REP,August Deuser,"80,161",26.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois - 2nd District,DEM,Robin Kelly,"229,184",79.60%,REP,John Morrow,"58,788",20.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois - 3rd District,DEM,Daniel Lipinski,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois - 4th District,DEM,Luis Gutierrez,Uncontested race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois - 5th District,DEM,Mike Quigley,"201,983",67.60%,REP,Vince Kolber,"82,931",27.80%,Other,Rob Sherman,"13,867",4.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois - 6th District,REP,Peter Roskam,"205,746",59.50%,DEM,Amanda Howland,"140,023",40.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois - 7th District,DEM,Danny Davis,"232,322",84%,REP,Jeffrey Leef,"44,242",16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois - 8th District,DEM,Raja Krishnamoorthi,"141,138",58.10%,REP,Pete DiCianni,"101,893",41.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois - 9th District,DEM,Janice Schakowsky,"203,834",65.80%,REP,Joan McCarthy Lasonde,"105,920",34.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois - 10th District,DEM,Brad Schneider,"147,299",52.50%,REP,Robert Dold,"133,383",47.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
