Louisiana - 4th District,REP,John Fleming,"187,783",75.30%,Other,Randall Lord,"61,586",24.70%
Louisiana - 5th District,REP,Rodney Alexander,"203,483",77.80%,Other,Ron Ceasar,"37,635",14.40%,Other,Clay Grant,"20,519",7.80%
Louisiana - 6th District,REP,William Cassidy,"243,594",79.40%,Other,Rufus Craig,"32,200",10.50%,Other,Richard Torregano,"31,014",10.10%
Massachusetts - 1st District,DEM,Richard Neal,Uncontested race
Massachusetts - 2nd District,DEM,James McGovern,Uncontested race
Massachusetts - 3rd District,DEM,Nicola Tsongas,"210,833",65.90%,REP,Jon Golnik,"108,868",34.10%
Massachusetts - 4th District,DEM,Joe Kennedy,"219,499",61.10%,REP,Sean Bielat,"129,243",36%,Other,David Rosa,"10,674",3%
Massachusetts - 5th District,DEM,Edward Markey,"254,128",75.50%,REP,Tom Tierney,"82,286",24.50%
Massachusetts - 6th District,DEM,John Tierney,"179,603",48.30%,REP,Richard Tisei,"175,953",47.30%,Other,Daniel Fishman,"16,668",4.50%
Massachusetts - 7th District,DEM,Michael Capuano,"206,424",83.60%,Other,Karla Romero,"40,438",16.40%
Massachusetts - 8th District,DEM,Stephen Lynch,"262,565",76.30%,REP,Joe Selvaggi,"81,733",23.70%
Massachusetts - 9th District,DEM,William Keating,"211,051",58.80%,REP,Christopher Sheldon,"115,541",32.20%,Other,Daniel Botelho,"32,468",9%
Maryland - 1st District,REP,Andy Harris,"202,130",67.50%,DEM,Wendy Rosen,"85,468",28.50%,Other,Muir Boda,"11,939",4%
Maryland - 2nd District,DEM,C.A. Ruppersberger,"181,272",65.50%,REP,Nancy Jacobs,"86,856",31.40%,Other,Leo Dymowski,"8,750",3.20%
Maryland - 3rd District,DEM,John Sarbanes,"196,111",66.60%,REP,Eric Knowles,"87,847",29.80%,Other,Paul Drgos,"10,342",3.50%
Maryland - 4th District,DEM,Donna Edwards,"220,344",77.10%,REP,Faith Loudon,"59,882",20.90%, Other,Scott Soffen,"5,736",2%
Maryland - 5th District,DEM,Steny Hoyer,"211,816",62.20%,REP,Tony O&#39;Donnell,"119,768",35.20%,Other,Bob Auerbach,"4,478",1.30%,Other,Arvin Vohra,"4,392",1.30%
Maryland - 6th District,DEM,John Delaney,"167,481",58.60%,REP,Roscoe Bartlett,"108,855",38.10%,Other,Nickolaus Mueller,"9,259",3.20%
Maryland - 7th District,DEM,Elijah Cummings,"226,692",76.30%,REP,Frank Mirabile,"62,593",21.10%,Other,Ronald Owens-Bey,"7,628",2.60%
Maryland - 8th District,DEM,Chris Van Hollen,"192,711",62.50%,REP,Ken Timmerman,"104,391",33.90%,Other,Mark Grannis,"6,624",2.10%,Other,George Gluck,"4,498",1.50%
Maine - 1st District,DEM,Chellie Pingree,"233,616",64.70%,REP,Jonathan Courtney,"127,304",35.30%
Maine - 2nd District,DEM,Michael Michaud,"189,407",58.10%,REP,Kevin Raye,"136,328",41.90%
Michigan - 1st District,REP,Dan Benishek,"166,833",48.20%,DEM,Gary McDowell,"164,536",47.50%,Other,Emily Salvette,"10,917",3.20%,Other,Ellis Boal,"4,156",1.20%
Michigan - 2nd District,REP,Bill Huizenga,"193,646",61.10%,DEM,Willie German,"108,644",34.30%,Other,Mary Buzuma,"8,756",2.80%,Other,Ronald Graeser,"3,177",1%,Other,William Opalicky,"2,712",0.90%
Michigan - 3rd District,REP,Justin Amash,"173,529",52.70%,DEM,Steve Pestka,"145,117",44.10%,Other,Bill Gelineau,"10,587",3.20%
Michigan - 4th District,REP,Dave Camp,"196,835",63.10%,DEM,Debra Freidell Wirth,"104,601",33.50%,Other,John Gelineau,"4,277",1.40%,Other,George Zimmer,"3,557",1.10%,Other,Pat Timmons,"2,760",0.90%
Michigan - 5th District,DEM,Daniel Kildee,"213,303",65%,REP,Jim Slezak,"103,001",31.40%,Other,David Davenport,"6,665",2%,Other,Gregory Creswell,"4,971",1.50%
Michigan - 6th District,REP,Fred Upton,"173,301",54.50%,DEM,Mike O&#39;Brien,"135,793",42.70%,Other,Christie Gelineau,"6,317",2%,Other,Jason Gatties,"2,583",0.80%
Michigan - 7th District,REP,Tim Walberg,"169,184",53.30%,DEM,Kurt Haskell,"136,508",43%,Other,Ken Proctor,"8,086",2.50%,Other,Richard Wunsch,"3,455",1.10%
Michigan - 8th District,REP,Mike Rogers,"202,126",58.60%,DEM, Lance Enderle,"128,622",37.30%,Other,Daniel Goebel,"8,079",2.30%,Other,Preston Brooks,"6,094",1.80%
Michigan - 9th District,DEM,Sander Levin,"208,834",61.90%,REP,Don Volaric,"114,746",34%,Other,Jim Fulner,"6,100",1.80%,Other,Julia Williams,"4,706",1.40%,Other,Les Townsend,"2,902",0.90%
Michigan - 10th District,REP,Candice Miller,"226,151",68.70%,DEM,Chuck Stadler,"98,058",29.80%,Other,Bhagwan Dashairya,"4,796",1.50%
Michigan - 11th District,REP,Kerry Bentivolio,"181,796",34.70%,DEM,David Curson,"159,267",30.40%,DEM,Syed Taj,"158,889",30.30%,Other,John Tatar,"9,640",1.80%,Other,Marc Sosnowski,"6,528",1.20%,Other,Steven Duke,"4,570",0.90%,Other,Daniel Johnson,"3,251",0.60%
Michigan - 12th District,DEM,John Dingell,"216,537",67.90%,REP,Cynthia Kallgren,"92,305",29%,Other,Richard Secula,"9,867",3.10%
Michigan - 13th District,DEM,John Conyers,"235,258",82.80%,REP,Harry Sawicki,"38,765",13.60%,Other,Chris Sharer,"6,076",2.10%,Other,Martin Gray,"4,089",1.40%
Michigan - 14th District,DEM,Gary Peters,"270,184",82.20%,REP,John Hauler,"51,395",15.60%,Other,Leonard Schwartz,"3,968",1.20%,Other,Douglas Campbell,"2,977",0.90%
Minnesota - 1st District,DEM,Tim Walz,"193,209",57.60%,REP,Allen Quist,"142,159",42.40%
Minnesota - 2nd District,REP,John Kline,"193,586",54.10%,DEM,Mike Obermueller,"164,335",45.90%
Minnesota - 3rd District,REP,Erik Paulsen,"222,333",58.20%,DEM,Brian Barnes,"159,936",41.80%
